id,uname,year,month,fan,tubelight,television,refrigerator,washing_machine,microwave_ovan,water_purifier,ac,water_heater,motor_pump,air_cooler,computer,electric_stove
1,C2,2020,January,20,25,40,50,50,45,30,140,0,120,80,70,65
2,C2,2020,February,23,21,22,34,78,45,55,167,102,154,67,70,40
3,C2,2020,March,18,17,24,25,37,3,10,60,15,45,0,0,10
4,C2,2020,April,22,16,28,25,37,3,10,67,23,45,5,0,21
5,C2,2020,May,23,15,17,18,25,27,23,51,30,32,11,5,0
6,C2,2020,June,34,18,37,28,41,12,19,78,26,16,4,8,7
7,C2,2020,July,11,15,18,12,27,20,31,44,22,38,21,12,23
8,C2,2020,August,15,18,12,17,23,34,32,56,23,25,0,0,5
9,C2,2020,September,14,15,22,11,12,0,10,20,4,35,13,6,8
10,C2,2020,October,10,12,15,21,14,20,25,34,17,29,21,10,13
11,C2,2020,November,18,18,22,12,11,20,10,51,15,45,4,6,0
12,C2,2020,December,15,14,16,18,24,17,29,38,13,43,13,5,6
13,C2,2021,January,13,15,16,18,12,21,32,55,22,65,4,12,7
14,C2,2021,February,14,16,18,20,22,21,18,19,20,32,10,9,14
15,C2,2021,March,34,38,12,15,16,2,25,67,28,38,21,6,7
16,C2,2021,April,23,15,40,25,33,21,30,44,30,38,13,8,0
17,C2,2021,May,18,15,40,25,12,27,30,78,30,55,4,8,0
18,C2,2021,June,18,15,22,34,25,3,23,78,30,38,8,12,23
19,C2,2021,July,23,18,18,12,12,12,10,78,40,32,13,5,7
20,C2,2021,August,18,15,22,20,40,16,25,44,18,19,21,8,10
21,C2,2021,September,18,15,22,18,37,21,25,44,15,16,21,5,10
22,C2,2021,October,20,15,22,18,25,21,23,51,12,43,29,8,34
23,C2,2021,November,18,15,22,0,50,20,30,60,22,43,21,12,23
24,C2,2021,December,23,18,22,25,37,27,25,44,22,16,13,0,0
25,C2,2022,January,23,25,22,25,25,12,32,78,15,43,13,6,10
26,C2,2022,February,18,32,22,34,37,34,23,56,15,45,32,34,22
27,C2,2022,March,16,18,22,22,17,20,10,43,18,22,32,24,21
28,C2,2022,April,23,18,22,25,21,13,19,47,20,39,27,0,15
29,C2,2022,May,18,15,0,25,12,45,0,44,22,38,4,6,23
30,C2,2022,June,18,15,22,25,12,12,19,51,22,16,4,12,23
31,C2,2022,July,23,15,22,25,12,27,25,60,15,16,21,8,10
32,C2,2022,August,18,15,14,25,25,21,19,44,22,32,35,5,23
33,C2,2022,September,18,15,12,25,37,21,25,78,22,16,4,5,23
34,C2,2022,October,14,35,40,25,37,3,23,58,22,16,13,12,7
35,C2,2022,November,23,15,22,25,37,20,32,44,26,32,32,12,10
36,C2,2022,December,18,15,22,25,12,0,25,78,26,45,4,8,10
